modelo,parametros,scaler,selector,r2,mae,rmse,dataset
SGDRegressor,"{""alpha"": ""0.01"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9118154257905692,0.401966435022518,0.5038082330313529,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.912956396058403,0.3993569307200023,0.5005383626638997,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9128574298313572,0.3995875347112424,0.5008227700150225,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9128574298313572,0.3995875347112424,0.5008227700150225,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.912442062154408,0.4005324392024803,0.5020164819147556,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""eta0"": ""0.1"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3196459859689747,1.185431765778424,1.3993868168418742,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""eta0"": ""0.01"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3196454461075465,1.1854324383816437,1.399387371436991,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""eta0"": ""0.1"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3196509208796049,1.1854280898370182,1.3993817206115708,crop_yield.csv
LinearSVR,"{""C"": ""100.0"", ""dual"": ""False"", ""epsilon"": ""0.3"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.9130035564477528,0.3995532076262322,0.5007745609138711,crop_yield.csv
LinearSVR,"{""C"": ""0.01"", ""dual"": ""False"", ""epsilon"": ""0.3"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.9129940602006864,0.3995776549145686,0.500801952024669,crop_yield.csv
Ridge,"{""alpha"": ""10.0"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""sag"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129749244313456,0.3993175857368928,0.5004848906961638,crop_yield.csv
